game_number,strategy,seed,turns_survived,survived_target,final_people,max_people,final_food,max_food,total_hunts,successful_hunts,hunt_failures,hunt_deaths,total_food_rolls,total_food_gained,kinship_started,kinship_completed,tech_sets_completed,tech_upgrades_completed,prayer_earned,prayer_spent,sacrifices,events_ignored
203,random,100203,11,False,3,5,0,8,6,5,1,1,2,4,6,4,2,2,8,2,0,1
204,random,100204,7,False,1,5,0,8,2,2,0,0,2,3,2,1,0,0,2,2,2,1
205,random,100205,12,False,0,5,10,14,5,2,3,3,6,10,1,1,1,3,2,2,3,1
206,random,100206,7,False,0,5,0,7,2,1,1,1,2,2,2,2,2,3,1,0,1,0
207,random,100207,4,False,0,5,0,7,2,0,2,2,0,0,1,1,0,1,2,0,1,0
208,random,100208,46,False,0,6,15,19,9,7,2,2,19,28,4,3,0,1,12,12,4,6
209,random,100209,16,False,1,5,0,8,6,3,3,3,10,19,6,5,0,1,1,0,3,0
210,random,100210,8,False,5,7,0,11,6,5,1,1,3,3,6,1,1,1,1,0,1,0
211,random,100211,18,False,0,5,0,13,8,4,4,4,9,15,5,3,0,0,8,6,3,3
212,random,100212,14,False,0,5,0,7,6,6,0,0,4,7,5,4,0,1,5,4,3,2
213,random,100213,25,False,3,5,0,12,10,9,1,1,11,17,10,6,3,3,8,6,3,3
214,random,100214,17,False,0,5,11,13,5,3,2,2,15,23,2,2,0,3,3,2,4,1
215,random,100215,9,False,0,5,31,31,5,3,2,2,3,3,2,1,0,0,3,2,5,1
216,random,100216,8,False,1,5,0,8,4,2,2,2,5,9,3,2,0,2,1,0,2,0
217,random,100217,11,False,0,6,0,9,6,5,1,1,5,4,3,3,1,1,7,2,0,1
218,random,100218,16,False,1,6,0,13,6,5,1,1,17,23,5,4,2,3,15,8,4,4
219,random,100219,34,False,1,7,0,20,16,13,3,3,24,47,11,8,4,5,16,16,4,8
220,random,100220,12,False,0,5,8,12,3,1,2,2,4,5,1,1,0,0,3,2,2,1
221,random,100221,15,False,0,6,2,17,7,4,3,3,7,13,4,4,1,3,5,4,3,2
222,random,100222,9,False,0,6,0,7,5,4,1,1,9,13,1,1,1,3,2,0,3,0
223,random,100223,2,False,3,5,0,7,1,0,1,1,0,0,2,0,0,0,0,0,0,0
224,random,100224,3,False,1,5,0,7,0,0,0,0,0,0,2,0,0,2,1,0,3,0
